wavelength,Intensity,Uncertainty
3678.84,9.12E-15,3.72E-16
3681.59,9.05E-15,3.69E-16
3684.34,9.79E-15,3.84E-16
3687.09,8.96E-15,3.62E-16
3689.84,9.24E-15,3.68E-16
3692.59,8.89E-15,3.60E-16
3695.34,8.69E-15,3.54E-16
3698.09,8.37E-15,3.43E-16
3700.84,8.02E-15,3.32E-16
3703.59,8.66E-15,3.46E-16
3706.34,8.43E-15,3.38E-16
3709.09,9.29E-15,3.53E-16
3711.84,9.37E-15,3.55E-16
3714.59,1.01E-14,3.66E-16
3717.34,9.56E-15,3.53E-16
3720.09,1.02E-14,3.63E-16
3722.84,1.10E-14,3.74E-16
3725.59,1.23E-14,3.93E-16
3728.34,1.43E-14,4.26E-16
3731.09,1.71E-14,4.67E-16
3733.84,2.06E-14,5.15E-16
3736.59,2.49E-14,5.70E-16
3739.34,2.90E-14,6.18E-16
3742.09,3.24E-14,6.58E-16
3744.84,3.19E-14,6.47E-16
3747.59,3.04E-14,6.26E-16
3750.34,2.45E-14,5.51E-16
3753.09,1.88E-14,4.76E-16
3755.84,1.48E-14,4.15E-16
3758.59,1.24E-14,3.76E-16
3761.34,1.09E-14,3.50E-16
3764.09,1.02E-14,3.36E-16
3766.84,1.07E-14,3.43E-16
3769.59,1.13E-14,3.50E-16
3772.34,1.13E-14,3.49E-16
3775.09,1.10E-14,3.42E-16
3777.84,1.10E-14,3.42E-16
3780.59,1.07E-14,3.36E-16
3783.34,1.04E-14,3.29E-16
3786.09,9.87E-15,3.19E-16
3788.84,9.49E-15,3.12E-16
3791.59,9.07E-15,3.05E-16
3794.34,9.69E-15,3.13E-16
3797.09,9.82E-15,3.14E-16
3799.84,9.84E-15,3.12E-16
3802.59,9.14E-15,3.00E-16
3805.34,8.94E-15,2.96E-16
3808.09,9.40E-15,3.01E-16
3810.84,8.71E-15,2.88E-16
3813.59,8.48E-15,2.84E-16
3816.34,8.83E-15,2.88E-16
3819.09,8.76E-15,2.87E-16
3821.84,8.61E-15,2.83E-16
3824.59,8.80E-15,2.84E-16
3827.34,9.31E-15,2.91E-16
